Name,DOB,Gender,Type,HealthConcerns,Phase
Rebecca,2011-02-10,female,dog,False,fostering
Cynthia,2004-03-17,male,dog,True,fostering
Stephen,1994-07-23,male,cat,True,fostering
Brandon,2011-11-28,male,dog,False,fostering
Todd,2006-04-08,male,dog,False,fostering
Christopher,2001-10-01,female,dog,True,fostering
Joshua,2001-07-26,male,cat,True,adopting
Darlene,1994-05-05,female,dog,False,adopting
Amanda,2013-12-03,male,cat,False,fostering
Heather,1996-01-01,female,cat,False,fostering
John,2009-02-25,male,cat,False,fostering
Patrick,1997-04-29,male,cat,False,adopting
Richard,2010-08-24,female,dog,True,adopting
Sandra,1991-10-19,male,cat,True,fostering
Angela,2002-01-30,female,dog,False,adopting
Gabrielle,1995-05-13,male,cat,False,adopting
Cheryl,2002-04-14,female,dog,False,adopting
Norman,2011-03-21,male,dog,True,fostering
Rebecca,2013-03-13,female,dog,True,fostering
Katherine,2014-10-26,male,cat,True,fostering
Heather,2014-03-10,male,cat,False,adopting
Samantha,2001-01-08,female,cat,True,fostering
Alyssa,2009-02-25,female,cat,False,adopting
Jason,1998-03-03,male,cat,False,fostering
David,2002-12-07,female,dog,True,adopting
Charlotte,2000-07-25,male,cat,True,fostering
Christina,2014-02-06,female,cat,False,fostering
Angela,1993-10-08,female,cat,True,fostering
Donald,1999-03-16,female,cat,False,fostering
Craig,2010-12-05,female,dog,False,adopting
Allen,2018-07-08,male,dog,False,adopting
Larry,2004-03-22,male,dog,False,fostering
Timothy,2011-08-22,male,cat,False,adopting
John,1993-07-31,male,dog,False,fostering
Lauren,1995-03-01,male,dog,False,fostering
Laurie,2011-02-25,female,dog,True,adopting
Jonathan,2007-12-19,male,cat,True,fostering
Kelly,1992-03-28,male,cat,False,adopting
Ryan,1995-09-20,female,cat,False,fostering
Joshua,2009-04-05,male,dog,False,fostering
Amanda,1994-05-17,female,cat,False,fostering
Emma,2019-07-17,female,cat,False,adopting
Jeremiah,2010-04-30,female,cat,False,fostering
Lori,2004-08-22,male,dog,False,adopting
Thomas,2008-04-06,female,dog,True,adopting
Christie,1999-09-10,female,cat,True,fostering
Hannah,1994-08-26,female,cat,False,fostering
Rebecca,1999-07-24,male,cat,True,adopting
Judy,1998-04-15,female,cat,True,fostering
Lori,2018-12-18,female,dog,True,adopting
Michelle,2003-03-07,female,cat,False,fostering
Cheyenne,1994-07-19,female,cat,True,adopting
Anthony,1999-07-18,male,cat,True,fostering
Miguel,2004-09-06,female,cat,True,adopting
Julian,2017-07-23,female,cat,False,adopting
William,1996-08-08,male,dog,False,fostering
Jessica,2007-05-11,male,dog,False,adopting
William,2010-06-20,male,cat,True,adopting
Jeffrey,2003-11-11,male,cat,True,fostering
Yolanda,2016-05-27,male,cat,False,fostering
Jennifer,2000-03-28,female,cat,False,fostering
Carrie,2008-07-22,female,cat,True,adopting
Julia,2000-07-25,male,cat,True,fostering
Christine,1996-11-11,male,dog,True,fostering
Rebecca,2003-02-26,male,cat,True,fostering
Justin,1999-08-29,female,cat,False,fostering
Christopher,1997-12-20,female,cat,False,adopting
Bryan,2009-11-28,female,dog,False,fostering
Michael,2002-04-14,male,dog,False,fostering
April,2001-03-12,female,cat,True,adopting
Jeffrey,1996-06-01,female,dog,False,adopting
Julia,1996-02-03,female,cat,False,fostering
Jesse,2006-04-19,female,cat,False,adopting
John,2015-08-10,male,cat,True,adopting
Samantha,2015-01-31,male,cat,False,fostering
Andrea,2009-12-13,female,dog,True,fostering
Aaron,2018-04-18,female,cat,True,fostering
Katrina,2004-01-05,female,dog,False,adopting
Hannah,2013-08-31,female,cat,True,fostering
Nicholas,1997-01-15,male,cat,True,fostering
Debra,2000-05-16,female,cat,True,fostering
James,2006-01-24,female,cat,False,fostering
Mark,2009-05-19,female,cat,True,adopting
Ashley,2002-07-21,male,cat,True,adopting
Dustin,2009-07-21,male,dog,False,adopting
Michael,2017-04-23,male,dog,True,fostering
Joseph,1994-04-30,female,dog,False,adopting
Hannah,1991-05-04,male,dog,True,adopting
Amy,2010-08-23,male,dog,False,adopting
Peter,2007-08-20,male,dog,True,fostering
Kimberly,2006-11-03,female,cat,False,fostering
Victoria,2013-04-22,male,cat,True,fostering
Benjamin,2001-02-27,female,dog,False,fostering
Sarah,1997-08-02,male,dog,True,fostering
Amy,2017-12-09,female,dog,False,adopting
Maurice,2003-02-02,female,dog,True,fostering
Timothy,2007-03-13,male,dog,True,adopting
Steven,2013-01-22,female,cat,False,fostering
Joshua,2017-03-17,male,cat,False,adopting
George,1993-02-15,female,cat,False,fostering
Vanessa,1991-12-08,female,cat,True,fostering
Jamie,2000-12-17,female,dog,True,adopting
Jessica,2001-07-28,male,cat,False,fostering
Tyler,2018-04-01,female,dog,False,adopting
Christopher,2004-03-26,female,dog,False,adopting
Mercedes,2014-06-20,female,dog,True,adopting
George,1993-01-12,female,cat,True,adopting
Jacob,1994-02-22,female,dog,True,adopting
Martin,1994-01-18,female,dog,True,fostering
Anna,2019-02-18,female,dog,True,fostering
Joy,2011-07-01,male,cat,False,adopting
John,2008-06-12,female,dog,True,adopting
Gina,2007-01-07,female,dog,False,fostering
Russell,1999-03-22,female,dog,True,adopting
Cindy,2007-12-03,male,dog,True,fostering
Richard,2006-02-27,female,cat,True,fostering
James,2003-02-07,male,cat,True,adopting
April,2017-09-27,female,cat,True,fostering
Joshua,2019-02-22,female,cat,True,adopting
Brent,2006-10-16,male,dog,False,fostering
Michael,2000-06-08,female,cat,True,adopting
Jennifer,2013-03-08,male,dog,False,adopting
Donna,2017-02-18,male,dog,True,fostering
Dustin,2003-09-10,male,cat,True,adopting
Jennifer,2001-09-22,female,cat,True,adopting
Valerie,2009-01-06,male,cat,False,fostering
Ashley,2007-11-03,male,dog,False,fostering
William,2004-10-17,female,dog,False,adopting
Christine,2004-06-30,female,cat,False,adopting
Rodney,1999-02-13,female,dog,False,adopting
Jason,1993-01-09,female,dog,True,fostering
Kyle,2016-10-19,male,cat,False,adopting
Andrew,2004-05-21,female,cat,False,fostering
Suzanne,2005-09-09,male,cat,True,adopting
Allison,2015-01-26,female,cat,False,adopting
Joseph,1997-01-27,female,dog,True,adopting
Laura,2009-10-23,female,cat,False,adopting
Nathaniel,2009-10-23,male,cat,True,adopting
Ryan,2007-08-20,male,dog,False,fostering
Jonathan,2016-07-22,female,dog,True,adopting
James,2020-12-17,male,cat,True,fostering
Cynthia,2005-01-29,female,dog,False,fostering
Gary,2013-07-12,female,cat,False,adopting
Thomas,1997-12-05,female,dog,False,adopting
John,2019-08-22,male,cat,True,fostering
Lindsay,1998-12-15,female,dog,True,adopting
Amber,2006-08-04,female,cat,True,adopting
Tanya,2011-12-04,female,dog,False,fostering
April,2011-06-21,female,cat,True,fostering
Christine,2007-08-19,male,dog,True,fostering
Collin,2000-01-07,female,cat,False,fostering
Heather,2008-07-28,female,dog,False,fostering
Bradley,2005-12-07,male,dog,True,adopting
April,2013-05-23,male,dog,False,adopting
Christopher,1999-10-27,female,cat,False,adopting
Whitney,1995-09-30,male,cat,False,fostering
Sally,1991-06-04,female,cat,True,fostering
Robin,1992-10-31,female,cat,False,adopting
Shawn,1996-11-16,female,dog,False,fostering
Adrian,2006-04-07,female,cat,False,adopting
Melanie,2020-06-08,male,cat,False,adopting
Willie,2015-02-06,male,cat,False,fostering
Todd,2011-01-11,male,cat,False,fostering
Brittany,2001-03-09,female,dog,False,adopting
William,1993-04-03,female,dog,True,fostering
Christine,2000-02-13,male,cat,True,adopting
Erik,2006-02-08,male,dog,False,adopting
Jane,2014-03-11,male,cat,False,fostering
Daniel,1995-11-14,female,dog,False,fostering
Kelly,2003-09-29,female,cat,False,fostering
John,1997-07-01,female,cat,True,adopting
Scott,1998-05-14,male,cat,True,adopting
Chad,1992-03-30,male,dog,True,adopting
Carol,2017-01-22,female,dog,False,fostering
Michelle,2014-11-03,female,cat,False,fostering
Linda,2018-08-24,female,cat,False,fostering
Meredith,2006-10-25,female,dog,False,fostering
Joshua,2000-11-17,male,cat,False,fostering
David,2005-08-23,male,dog,True,fostering
Alexandra,2015-02-13,male,dog,False,adopting
Kimberly,2002-02-15,female,cat,False,fostering
Walter,2004-12-24,female,dog,False,fostering
Frank,2018-11-02,male,dog,True,adopting
Dana,1998-04-08,male,dog,False,adopting
Angela,2004-04-13,male,dog,False,fostering
David,2003-03-03,male,cat,False,adopting
James,2003-07-04,male,cat,False,adopting
Cassandra,2013-02-03,female,dog,False,adopting
Derrick,2018-10-05,female,cat,False,adopting
Bobby,2017-04-26,female,dog,True,adopting
Jon,2005-08-04,female,cat,False,fostering
Maureen,2010-09-11,female,cat,True,adopting
Michael,2006-11-14,male,cat,True,adopting
Jorge,1997-07-20,female,cat,True,fostering
Matthew,2017-12-06,female,cat,False,adopting
Andrew,2007-10-11,female,dog,True,adopting
